left,right
35.344,32.660
35.528,32.489
35.689,32.335
35.820,32.190
35.911,32.065
36.090,31.928
36.210,31.813
36.319,31.694
36.420,31.591
36.532,31.489
36.625,31.395
36.722,31.300
36.808,31.215
36.910,31.122
36.984,31.024
37.070,30.998
37.150,30.870
37.230,30.780
37.320,30.710
