left,right
19.498,16.431
19.662,16.272
19.814,16.128
19.944,15.998
20.079,15.869
20.205,15.756
20.218,15.648
20.426,15.536
20.524,15.458
20.620,15.349
20.721,15.242
20.812,15.150
20.894,15.061
20.979,14.985
21.050,14.900
21.151,14.828
21.241,14.742
21.288,14.671
21.308,14.600
